Accession,Liquid culture rna expression levels
AO090120000091,95.2811058983829
AO090009000189,253.967166191254
AO090026000283,104.238656367003
AO090003000186,112.746189461122
AO090020000415,84.1160518778899
AO090012000164,5.86933411363652
AO090026000517,81.8606399054915
AO090038000569,230.627565052495
AO090102000566,105.576814317286
AO090701000214,77.9165310123652
AO090009000714,122.320911272762
AO090124000044,130.723113675382
AO090010000764,122.637311650741
AO090020000564,93.3575280810049
AO090003001230,71.5379995333507
AO090011000535,75.9838956592533
AO090120000132,88.4747771944468
AO090012000533,54.3696679636864
AO090009000262,124.596543313556
AO090010000361,3.90355077088316
AO090009000711,77.5605085812383
AO090102000173,41.8859588186414
AO090009000149,213.826220696065
AO090701000588,89.749697617529
AO090012000370,198.139386178696
AO090701000061,148.2095333415
AO090012001003,182.715372909697
AO090009000495,133.152107061211
AO090012000837,107.468061733564
AO090005000459,127.129776901367
AO090005000166,112.821644628791
AO090003000769,112.92387327101
AO090026000520,125.767797760718
AO090005000469,101.160035492725
AO090005001630,141.904350435249
AO090113000110,53.5093857408816
AO090026000141,107.85954256142
AO090103000012,111.703210406026
AO090120000378,135.443644872332
AO090701000572,108.486261336371
AO090026000785,73.4083835750108
AO090124000014,6.70272453782257
AO090701000476,96.5518165879601
AO090023000896,47.4477605988557
AO090038000435,83.0455540480441
AO090005001098,149.936211035731
AO090023000893,75.2844867508996
AO090102000539,55.7712408305227
AO090701000279,78.6000603655529
AO090023000986,51.8734180702377
